"ID","gene_symbol","log2FoldChange","pvalue","padj","mean_CTRL","mean_shBKCa","mean_expression","delta_sh_minus_ctrl"
"ENSG00000163017","ACTG2",4.24020255841443,0,0,7.26151966660815,11.503482792049,9.38250122932857,4.24196312544083
"ENSG00000120937","NPPB",3.49910637609333,0,0,7.67826573301614,11.1686806985947,9.42347321580543,3.49041496557858
"ENSG00000171345","KRT19",-4.26058098235461,4.29194027766898e-271,2.56171608706469e-267,10.2329317561611,5.97849947305377,8.10571561460744,-4.25443228310733
"ENSG00000077942","FBLN1",2.4657359593445,4.36530512188429e-262,1.9541288378115e-258,8.20188020060863,10.6633044915799,9.43259234609424,2.46142429097123
"ENSG00000117525","F3",1.58472229365923,3.88310226361096e-245,1.39061658264436e-241,11.3943717440882,12.9788869968551,12.1866293704716,1.58451525276698
"ENSG00000104368","PLAT",-1.76309861449099,2.86959996245653e-224,8.56384282129109e-221,12.2381359496899,10.4703492862191,11.3542426179545,-1.76778666347086
"ENSG00000004776","HSPB6",-1.69325526253192,1.32404048875661e-196,3.3868955702394e-193,11.6311360227812,9.93548877135407,10.7833123970676,-1.69564725142715
"ENSG00000156113","KCNMA1",-1.51182015030545,1.98794719064707e-188,4.4495227994658e-185,12.2694837694635,10.7544217163195,11.5119527428915,-1.51506205314405
"ENSG00000019186","CYP24A1",2.10981705469392,2.28476704924401e-186,4.54567097597369e-183,8.64141897203477,10.7473659187321,9.69439244538342,2.1059469466973
"ENSG00000107796","ACTA2",1.36696021018315,4.72981085549318e-186,8.46919931784608e-183,12.9698853677801,14.3381254859108,13.6540054268454,1.36824011813065
"ENSG00000211448","DIO2",3.32407017450184,2.27791662773436e-185,3.70803410329195e-182,6.37869596096506,9.70446750432235,8.04158173264371,3.32577154335729
"ENSG00000134853","PDGFRA",-1.56087680741408,2.03298596553123e-177,3.03355389156685e-174,11.874194071204,10.3122353606337,11.0932147159189,-1.56195871057029
"ENSG00000130176","CNN1",1.59099823482786,8.57700321385275e-173,1.18138322728652e-169,11.1938992410672,12.7825270944362,11.9882131677517,1.58862785336905
"ENSG00000213626","LBH",1.5471924168346,1.36897511886073e-170,1.75091917702287e-167,10.5513386019187,12.0996728482929,11.3255057251058,1.54833424637425
"ENSG00000225614","ZNF469",1.62677201475356,1.22530578413287e-165,1.46268835804554e-162,9.99071172236686,11.6168630850111,10.803787403689,1.62615136264428
"ENSG00000101384","JAG1",1.7851085958968,9.23171600729474e-164,1.03314441766637e-160,10.410979030903,12.2014166795618,11.3061978552324,1.79043764865878
"ENSG00000115461","IGFBP5",-1.47855269076729,3.05658565835448e-163,3.21948369402913e-160,14.3908535342464,12.9144516130745,13.6526525736604,-1.47640192117188
"ENSG00000128606","LRRC17",-1.28159722472097,1.6601212769465e-160,1.65145175472244e-157,12.270242870354,10.9876439569294,11.6289434136417,-1.2825989134246
"ENSG00000170961","HAS2",-1.87343821140236,1.6959296426117e-158,1.59827979897922e-155,12.9912769622751,11.1204292219576,12.0558530921163,-1.87084774031753
"ENSG00000154864","PIEZO2",1.88385262421752,4.04576287932384e-141,3.62217150585863e-138,9.61116099911257,11.4920851751566,10.5516230871346,1.88092417604401
"ENSG00000134531","EMP1",-1.38257788790178,1.1839750226872e-138,1.00953603601128e-135,13.8463442210606,12.4655687013938,13.1559564612272,-1.38077551966684
"ENSG00000135480","KRT7",1.36521657182545,2.10215654793932e-137,1.71096432488188e-134,11.4367289542832,12.8004555180916,12.1185922361874,1.3637265638084
"ENSG00000157601","MX1",-2.77588504600078,5.04487931982724e-125,3.92754822177507e-122,9.405457516956,6.65084361115891,8.02815056405746,-2.75461390579709
"ENSG00000156265","MAP3K7CL",-1.14152280713493,9.19902217486851e-124,6.86323712763315e-121,12.2779689345718,11.1383788096253,11.7081738720986,-1.13959012494654
"ENSG00000013297","CLDN11",-1.2228687796727,7.32597434263942e-123,5.24715586317206e-120,12.7241757687508,11.4996764024157,12.1119260855832,-1.22449936633512
"ENSG00000087258","GNAO1",2.27618245981512,6.6928381936303e-121,4.60930618058247e-118,7.3773914441966,9.6536959857084,8.5155437149525,2.2763045415118
"ENSG00000074181","NOTCH3",1.50183650325305,2.55382320400759e-117,1.69365771448e-114,10.5105831509023,12.0156151589518,11.2630991549271,1.50503200804949
"ENSG00000126709","IFI6",-1.82041459099503,1.19081641751991e-116,7.6152709900398e-114,12.5645821635989,10.7435107462456,11.6540464549222,-1.82107141735329
"ENSG00000122861","PLAU",-1.20397782056262,2.50870282712181e-116,1.54899423525666e-113,11.9734095111491,10.769019159032,11.3712143350905,-1.20439035211716
"ENSG00000242265","PEG10",-1.07916702810133,1.06976847075876e-107,6.38509141246881e-105,12.4103449050803,11.3308413707372,11.8705931379088,-1.07950353434319
